"No.","Time","Source","Destination","Protocol","Length","Info"
"14849","7.690884278","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=43867 Win=124800 Len=0 TSval=4266363478 TSecr=1405835173"
"14850","7.690969610","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=43867 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14851","7.690969937","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=45315 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14852","7.690979516","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=46763 Win=130560 Len=0 TSval=4266363478 TSecr=1405835173"
"14853","7.690970047","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=46763 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14854","7.690970134","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=48211 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14855","7.690985495","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=49659 Win=136448 Len=0 TSval=4266363478 TSecr=1405835173"
"14856","7.690970248","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=49659 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14857","7.690970351","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=51107 Ack=1612 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14858","7.690990998","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=52088 Win=142208 Len=0 TSval=4266363478 TSecr=1405835173"
"14859","7.691004766","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=52088 Ack=1612 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14860","7.691106668","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=52126 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14861","7.691111045","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=53574 Win=145152 Len=0 TSval=4266363478 TSecr=1405835173"
"14862","7.691106844","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=53574 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14863","7.691106970","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=55022 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14864","7.691117803","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=56470 Win=150912 Len=0 TSval=4266363478 TSecr=1405835173"
"14865","7.691107095","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=56470 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14866","7.691107217","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=57918 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14867","7.691107333","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=59366 Ack=1612 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14868","7.691125796","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=59366 Win=156672 Len=0 TSval=4266363478 TSecr=1405835173"
"14869","7.691133894","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=60347 Ack=1612 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14870","7.691144530","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=60385 Win=159616 Len=0 TSval=4266363478 TSecr=1405835173"
"14871","7.691237885","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=60385 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14872","7.691238037","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=61833 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14873","7.691246424","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=63281 Win=165376 Len=0 TSval=4266363478 TSecr=1405835173"
"14874","7.691238161","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=63281 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14875","7.691238289","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=64729 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14876","7.691252203","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=66177 Win=171136 Len=0 TSval=4266363478 TSecr=1405835173"
"14877","7.691238406","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=66177 Ack=1612 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14878","7.691238533","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=67625 Ack=1612 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14879","7.691256969","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1612 Ack=68606 Win=176896 Len=0 TSval=4266363478 TSecr=1405835173"
"14880","7.691270066","172.17.0.2","172.17.0.1","TCP","103","8443  >  55694 [PSH, ACK] Seq=68606 Ack=1612 Win=32128 Len=37 TSval=1405835173 TSecr=4266363478"
"14881","7.692040644","172.17.0.1","172.17.0.2","TCP","108","55694  >  8443 [PSH, ACK] Seq=1612 Ack=68643 Win=176896 Len=42 TSval=4266363478 TSecr=1405835173"
